# v_mps,ax_max_machines_mps2
9,10
12,15
18.67699454,21.58225433
18.86757611,21.56922558
19.05815769,21.55986854
19.24873927,21.55385901
19.43932084,21.55087276
19.62990242,21.55058559
19.820484,21.55267327
20.01106557,21.55681158
20.20164715,21.56267632
20.39222873,21.56994327
20.5828103,21.5782882
20.77339188,21.58738691
20.96397346,21.59691517
21.15455504,21.60654877
21.34513661,21.61596349
21.53571819,21.62483513
21.72629977,21.63283945
21.91688134,21.63965225
22.10746292,21.64494931
22.2980445,21.6484064
22.48862607,21.64969933
22.67920765,21.64850386
22.86978923,21.64449579
23.0603708,21.6373509
23.25095238,21.62674496
23.44153396,21.61235377
23.63211553,21.59385311
23.82269711,21.57091875
24.01327869,21.5432265
24.20386027,21.51045212
24.39444184,21.47227141
24.58502342,21.42836014
24.775605,21.3783941
24.96618657,21.32204907
25.15676815,21.25900085
25.19771459,15.91085645
25.45483412,15.89694653
25.71195366,15.88571379
25.9690732,15.87691791
26.22619273,15.87031859
26.48331227,15.8656755
26.74043181,15.86274833
26.99755134,15.86129676
27.25467088,15.86108049
27.51179042,15.86185919
27.76890995,15.86339255
28.02602949,15.86544026
28.28314903,15.86776199
28.54026856,15.87011744
28.7973881,15.8722663
29.05450764,15.87396823
29.31162717,15.87498294
29.56874671,15.87507011
29.82586625,15.87398942
30.08298578,15.87150055
30.34010532,15.86736319
30.59722486,15.86133703
30.85434439,15.85318175
31.11146393,15.84265704
31.36858346,15.82952258
31.625703,15.81353806
31.88282254,15.79446316
32.13994207,15.77205756
32.39706161,15.74608096
32.65418115,15.71629304
32.91130068,15.68245347
33.16842022,15.64432196
33.42553976,15.60165817
33.68265929,15.55422181
33.74979546,12.33064451
34.09418113,12.31269211
34.43856679,12.29666012
34.78295246,12.2823691
35.12733813,12.26963965
35.4717238,12.25829234
35.81610947,12.24814776
36.16049513,12.23902648
36.5048808,12.23074908
36.84926647,12.22313615
37.19365214,12.21600825
37.53803781,12.20918599
37.88242347,12.20248992
38.22680914,12.19574064
38.57119481,12.18875873
38.91558048,12.18136475
39.25996614,12.17337931
39.60435181,12.16462296
39.94873748,12.1549163
40.29312315,11.1440799
40.63750882,11.13193435
40.98189448,11.11830022
41.32628015,11.1029981
41.4289697,7.825174954
41.85171429,7.801539506
42.27445887,7.779375562
42.69720346,7.758536959
43.11994805,7.738877533
43.54269264,7.720251122
43.96543723,7.702511563
44.38818182,7.685512691
44.81092641,7.669108345
45.233671,7.653152361
45.65641558,7.637498576
46.07916017,7.622000827
46.50190476,7.606512951
46.92464935,7.590888785
47.34739394,7.574982165
47.77013853,7.558646929
48.19288312,7.541736914
48.61562771,7.524105955
49.03837229,7.505607892
49.46111688,7.486096559
49.88386147,7.465425794
50.06325591,6.0438963
50.57410546,5.997433521
51.08495501,5.966517785
51.59580456,5.9365708
52.10665411,5.907471612
52.61750366,5.879099266
53.12835321,5.851332807
53.63920276,5.824051281
54.15005231,5.797133732
54.66090186,5.770459207
55.17175141,5.74390675
55.68260096,5.717355407
56.19345051,5.690684223
56.70430006,5.663772243
57.21514961,5.636498513
57.72599916,5.608742078
58.23684871,5.580381983
58.74769826,5.551297273
59.25854781,5.521366995
59.76939736,5.490470192
60.28024691,5.458485911
60.79109646,5.425293196
61.30194601,5.390771094
61.34674359,5.166655389
61.97273077,5.12079987
62.59871795,5.075631108
63.22470513,5.031050395
63.85069231,4.986959025
64.47667949,4.943258289
65.10266667,4.89984948
65.72865385,4.856633891
66.35464103,4.813512814
66.98062821,4.77038754
67.60661538,4.727159364
68.23260256,4.683729577
68.85858974,4.639999472
69.48457692,4.595870341
70.1105641,4.551243476
70.73655128,4.506020171
71.36253846,4.460101717
71.98852564,4.413389408
72.61451282,4.365784534
73.2405,4.31718839
73.86648718,4.267502267
74.49247436,4.216627458
75.11846154,4.164465255
75.74444872,4.110916951
76.3704359,4.055883838
76.99642308,3.999267209
77.62241026,3.940968356
78.24839744,3.880888572
78.87438462,3.818929149
79.50037179,3.754991379
80.12635897,3.688976555
80.75234615,3.62078597
81.37833333,3.550320915
82.00432051,3.477482684
82.63030769,3.402172569
83.25629487,3.324291861
83.88228205,3.243741855
84.50826923,3.160423842
85.13425641,3.074239114
85.76024359,2.985088964
86.38623077,2.892874685
87.01221795,2.797497569
87.63820513,2.698858909
88.26419231,2.596859996
88.89017949,2.491402124
89.51616667,2.382386584
90.14215385,2.26971467
90.76814103,2.153287674
91.39412821,2.033006887
200,1
